Location,Population,ofWorld,Date,Source
 World	,8	097	611	000,100%,29 Mar 2024	,UN projection[3]
 China	,1	409	670	000,17.4%,31 Dec 2023	,Official estimate[5]
 India	,1	392	329	000,17.2%,1 Jul 2023	,Official projection[6]
 United States	,335	893	238,4.1%,1 Jan 2024	,Official estimate[7]
 Indonesia	,279	118	866,3.4%,1 Jul 2023	,National annual projection[8]
 Pakistan	,241	499	431,3.0%,1 Mar 2023	,2023 census result[9]
 Nigeria	,223	800	000,2.8%,1 Jul 2023	,Official projection[10]
 Brazil	,203	080	756,2.5%,1 Aug 2022	,2022 census result[11]
 Bangladesh	,169	828	911,2.1%,14 Jun 2022	,2022 census result[12]
 Russia	,146	203	613,1.8%,1 Jan 2024	,Official estimate[13]
 Mexico	,129	625	968,1.6%,31 Dec 2023	,National quarterly estimate[14]
 Japan	,123	990	000,1.5%,1 Feb 2024	,Official estimate[15]
 Philippines	,112	892	781,1.4%,1 Jul 2023	,Official projection[16]
 Ethiopia	,107	334	000,1.3%,1 Jul 2023	,National annual projection[17]
 Egypt	,104	462	545,1.3%,1 Jan 2023	,Official estimate[18]
 Vietnam	,100	300	000,1.2%,Jul 2023	,Official estimate[19]
 Democratic Republic of the Congo	,95	370	000,1.2%,1 Jul 2019	,Official figure[20]
 Turkey	,85	372	377,1.1%,31 Dec 2023	,Official estimate[21]
 Germany	,84	607	016,1.0%,30 Sep 2023	,National quarterly estimate[22]
 Iran	,84	055	000,1.0%,20 Mar 2022	,Official estimate[23]
 France	,68	381	000,0.8%,1 Feb 2024	,Monthly national estimate[24]
 Thailand	,68	263	022,0.8%,1 Jul 2021	,Official estimate[25]
 United Kingdom	,67	596	281,0.8%,30 Jun 2022	,Official estimate[26]
 South Africa	,62	027	503,0.8%,2 Feb 2022	,2022 census result[27]
 Tanzania	,61	741	120,0.8%,23 Aug 2022	,2022 census result[28]
 Italy	,58	909	449,0.7%,30 Nov 2023	,Monthly national estimate[29]
 Myanmar	,55	770	232,0.7%,1 Jul 2022	,National annual projection[30]
 Colombia	,52	695	952,0.7%,1 Jan 2024	,Official projection[31]
 Kenya	,51	526	000,0.6%,1 Jan 2023	,Official projection[32]
 South Korea	,51	303	688,0.6%,29 Feb 2024	,Monthly national estimate[33]
 Spain	,48	592	909,0.6%,1 Jan 2024	,National quarterly estimate[34]
 Argentina	,46	654	581,0.6%,1 Jul 2023	,National annual projection[35]
 Uganda	,45	562	000,0.6%,1 Jul 2023	,National annual projection[36]
 Algeria	,45	400	000,0.6%,1 Jan 2022	,Official estimate[37]
 Iraq	,43	324	000,0.5%,1 Jul 2023	,Official estimate[38]
 Sudan	,41	984	500,0.5%,1 Jul 2018	,Official projection[39]
 Canada	,40	800	000,0.5%,5 Jan 2024	,National quarterly estimate[40]
 Poland	,37	635	000,0.5%,31 Dec 2023	,Monthly national estimate[41]
 Morocco	,37	022	000,0.5%,1 Jul 2023	,Official projection[42]
 Ukraine	,36	700	000,0.5%,1 Jul 2023	,UN estimate[43]
 Uzbekistan	,36	599	764,0.5%,1 Oct 2023	,National quarterly estimate[44]
 Afghanistan	,34	262	840,0.4%,1 Jan 2023	,Official estimate[45]
 Angola	,34	094	077,0.4%,1 Jun 2023	,National annual projection[46]
 Peru	,33	396	698,0.4%,1 Jul 2022	,National annual projection[47]
 Malaysia	,33	379	500,0.4%,30 Jun 2023	,National quarterly estimate[48]
 Mozambique	,32	419	747,0.4%,1 Jul 2022	,National annual projection[49]
 Saudi Arabia	,32	175	224,0.4%,10 May 2022	,2022 census result[50]
 Yemen	,31	888	698,0.4%,1 Jul 2022	,Official estimate[51]
 Ghana	,30	832	019,0.4%,27 Jun 2021	,2021 census result[52]
 Ivory Coast	,29	389	150,0.4%,14 Dec 2021	,2021 census result[53]
   Nepal	,29	164	578,0.4%,25 Nov 2021	,2021 census result[54]
 Venezuela	,28	302	000,0.3%,30 Jun 2019	,Official projection[55]
 Cameroon	,28	088	845,0.3%,1 Jul 2023	,National annual projection[56]
 Madagascar	,26	923	353,0.3%,1 Jul 2021	,National annual projection[57]
 Australia	,26	821	557,0.3%,30 Sep 2023	,Official projection[58]
 North Korea	,25	660	000,0.3%,1 Jul 2021	,National annual projection[59]
 Niger	,25	369	415,0.3%,1 Jul 2023	,National annual projection[60]
 Taiwan	,23	420	442,0.3%,31 Dec 2023	,Official estimate[61]
 Syria	,22	923	000,0.3%,1 Jul 2021	,Official estimate[62]
 Burkina Faso	,22	752	315,0.3%,1 Jul 2023	,National projection[63]
 Mali	,22	395	489,0.3%,15 Jun 2022	,2022 census result[64]
 Sri Lanka	,22	037	000,0.3%,1 Jul 2023	,Official estimate[65]
 Malawi	,21	507	723,0.3%,1 Jul 2022	,National annual projection[66]
 Kazakhstan	,20	033	546,0.2%,1 Jan 2024	,Official estimate[67]
 Chile	,19	960	889,0.2%,30 Jun 2023	,National annual projection[68]
 Zambia	,19	610	769,0.2%,14 Sep 2022	,2022 census result[69]
 Romania	,19	051	562,0.2%,1 Jan 2023	,Official estimate[70]
 Senegal	,18	275	743,0.2%,1 Jul 2023	,National annual projection[71]
 Somalia	,18	143	379,0.2%,1 Jul 2023	,UN projection[3]
 Netherlands	,17	947	684,0.2%,31 Dec 2023	,Official estimate[72]
 Guatemala	,17	602	431,0.2%,1 Jul 2023	,National annual projection[73]
 Chad	,17	414	717,0.2%,1 Jul 2022	,National annual projection[74]
 Cambodia	,17	091	464,0.2%,1 Jul 2023	,Official projection[75]
 Ecuador	,16	938	986,0.2%,1 Oct 2022	,2022 census result[76]
 Zimbabwe	,15	178	979,0.2%,20 Apr 2022	,2022 census result[77]
 South Sudan	,14	746	494,0.2%,1 Jul 2023	,National annual projection[78]
 Guinea	,13	261	638,0.2%,1 Jul 2022	,National annual projection[79]
 Rwanda	,13	246	394,0.2%,15 Aug 2022	,2022 census result[80]
 Burundi	,12	837	740,0.2%,1 Jul 2022	,National annual projection[81]
 Benin	,12	606	998,0.2%,1 Jul 2023	,National annual projection[82]
 Bolivia	,12	006	031,0.1%,1 Jul 2022	,National annual projection[83]
 Tunisia	,11	850	232,0.1%,1 Jan 2023	,National estimate[84]
 Belgium	,11	810	018,0.1%,1 Dec 2023	,Official estimate[85]
 Papua New Guinea	,11	781	559,0.1%,1 Jul 2021	,National estimate[86]
 Haiti	,11	743	017,0.1%,1 Jul 2020	,National annual projection[87]
 Jordan	,11	302	000,0.1%,31 Dec 2022	,National estimate[88]
 Cuba	,11	089	511,0.1%,31 Dec 2022	,Official estimate[89]
 Czech Republic	,10	882	235,0.1%,30 Sep 2023	,Official estimate[90]
 Dominican Republic	,10	760	028,0.1%,10 Nov 2022	,2022 census result[91]
 Sweden	,10	551	707,0.1%,31 Dec 2023	,Monthly national estimate[92]
 Portugal	,10	467	366,0.1%,31 Dec 2022	,2022 estimate[93]
 Greece	,10	413	982,0.1%,1 Jan 2023	,Official estimate[94]
 Azerbaijan	,10	151	517,0.1%,1 Jul 2023	,Monthly national estimate[95]
 Tajikistan	,10	077	600,0.1%,1 Jan 2023	,Official estimate[96]
 Israel	,9	867	000,0.1%,29 Feb 2023	,National monthly estimate[97]
 Honduras	,9	745	149,0.1%,1 Jul 2023	,National annual projection[98]
 Hungary	,9	597	085,0.1%,1 Jan 2023	,Official estimate[99]
 United Arab Emirates	,9	282	410,0.1%,31 Dec 2020	,Official estimate[100]
 Belarus	,9	200	617,0.1%,1 Jan 2023	,Official estimate[101]
 Austria	,9	159	993,0.1%,1 Jan 2024	,National quarterly estimate[102]
  Switzerland	,8	931	306,0.1%,30 Sep 2023	,National quarterly estimate[103]
 Sierra Leone	,8	494	260,0.1%,1 Jul 2022	,National annual projection[104]
 Togo	,8	095	498,0.10%,8 Nov 2022	,2022 census result[105]
 Hong Kong (China)	,7	498	100,0.09%	,30 Jun 2023	,National estimate[106]
 Laos	,7	443	000,0.09%,1 Jul 2022	,National annual projection[107]
 Kyrgyzstan	,7	100	000,0.09%,1 Mar 2023	,Monthly national estimate[108]
 Turkmenistan	,7	057	841,0.09%,17 Dec 2022	,2022 census result[109]
 Libya	,6	931	061,0.09%,1 Jan 2020	,Official estimate[110]
 El Salvador	,6	884	888,0.09%,1 Jul 2022	,National annual projection[111]
 Nicaragua	,6	733	763,0.08%,30 Jun 2022	,Official estimate[112]
 Serbia	,6	641	197,0.08%,1 Jan 2023	,Official estimate[113]
 Bulgaria	,6	447	710,0.08%,31 Dec 2022	,Official annual estimate[114]
 Republic of the Congo	,6	142	180,0.08%,17 May 2023	,2023 census result[115]
 Paraguay	,6	109	644,0.08%,10 Nov 2022	,Preliminary census result[116]
 Denmark	,5	961	249,0.07%,1 Jan 2024	,National quarterly estimate[117]
 Singapore	,5	917	600,0.07%,30 Jun 2023	,Official estimate[118]
 Central African Republic	,5	633	412,0.07%,1 Jul 2020	,National annual projection[119]
 Finland	,5	574	011,0.07%,31 Dec 2023	,Monthly national estimate[120]
 Norway	,5	550	203,0.07%,31 Dec 2023	,National quarterly estimate[121]
 Lebanon	,5	490	000,0.07%,1 Jul 2021	,Official estimate[122]
 Palestine	,5	483	450,0.07%,1 Jan 2023	,National annual projection[123]
 Slovakia	,5	426	468,0.07%,30 Sep 2023	,National quarterly estimate[124]
 Ireland	,5	281	600,0.07%,1 Apr 2023	,National estimate[125]
 New Zealand	,5	305	600,0.07%,31 Dec 2023	,National quarterly estimate[126]
 Costa Rica	,5	262	225,0.06%,30 Jun 2023	,National annual projection[127]
 Liberia	,5	248	621,0.06%,10 Nov 2022	,2022 census result[128]
 Oman	,5	113	071,0.06%,31 Aug 2023	,Monthly national estimate[129]
 Kuwait	,4	670	713,0.06%,31 Dec 2020	,Official estimate[130]
 Mauritania	,4	475	683,0.06%,1 Jul 2023	,National annual projection[131]
 Panama	,4	064	780,0.05%,8 Jan 2023	,2023 census result[132]
 Croatia	,3	855	641,0.05%,1 Jul 2022	,Official estimate[133]
 Eritrea	,3	748	902,0.05%,1 Jul 2023	,UN projection[3]
 Georgia	,3	736	400,0.05%,1 Jan 2023	,Official estimate[134]
 Mongolia	,3	457	548,0.04%,31 Dec 2022	,National annual projection[135]
 Uruguay	,3	444	263,0.04%,27 Nov 2023	,2023 National census[136]
 Bosnia and Herzegovina	,3	277	082,0.04%,1 Jul 2022	,Official estimate[137][138]
 Puerto Rico (US)	,3	205	691,0.04%,1 Jul 2023	,Annual projection[139]
 Armenia	,2	981	200,0.04%,1 Jan 2023	,National quarterly estimate[140]
 Lithuania	,2	886	515,0.04%,1 Jan 2024	,Monthly national estimate[141]
 Jamaica	,2	825	544,0.03%,1 Jul 2019	,National projection[142]
 Albania	,2	761	785,0.03%,1 Jan 2023	,Official estimate[143]
 Qatar	,2	656	032,0.03%,30 Jun 2023	,Monthly national estimate[144]
 Namibia	,2	641	857,0.03%,1 Jul 2023	,National annual projection[145]
 Moldova	,2	512	758,0.03%,1 Jan 2023	,Official estimate[146]
 Gambia	,2	417	471,0.03%,1 Jul 2022	,National projection[147]
 Botswana	,2	410	338,0.03%,1 Jul 2021	,National annual projection[148]
 Lesotho	,2	306	000,0.03%,1 Jul 2023	,Official projection[149]
 Gabon	,2	233	272,0.03%,1 Jul 2021	,National annual projection[150]
 Slovenia	,2	123	103,0.03%,1 Oct 2023	,National quarterly estimate[151]
 Latvia	,1	872	500,0.02%,1 Jan 2024	,Monthly national estimate[152]
 North Macedonia	,1	832	696,0.02%,1 Nov 2021	,2021 census result[153]
 Guinea-Bissau	,1	781	308,0.02%,1 Jul 2023	,National annual projection[154]
 Kosovo	,1	762	220,0.02%,31 Dec 2022	,Official estimate[155]
 Bahrain	,1	577	059,0.02%,1 Jul 2023	,Official estimate[156]
 Equatorial Guinea	,1	558	160,0.02%,1 Jul 2022	,Official estimate[157]
 Trinidad and Tobago	,1	367	510,0.02%,30 Jun 2023	,Official estimate[158]
 Estonia	,1	366	491,0.02%,1 Jan 2024	,Official estimate[159]
 East Timor	,1	354	662,0.02%,1 Jul 2023	,National annual projection[160]
 Mauritius	,1	261	041,0.02%,30 Jun 2023	,National estimate[161]
 Eswatini	,1	223	362,0.02%,1 Jul 2023	,Official projection[162]
 Djibouti	,1	001	454,0.01%,1 Jul 2022	,National projection [163]
 Cyprus	,918	100,0.01%,1 Oct 2021	,2021 census result[164]
 Fiji	,893	468,0.01%,1 Jul 2021	,National annual projection[165]
 Bhutan	,770	276,0.010%,2023	,National annual projection[166]
 Comoros	,758	316,0.009%,15 Dec 2017	,2017 census result[167]
 Guyana	,743	699,0.009%,1 Jul 2019	,Official estimate[168]
 Solomon Islands	,734	887,0.009%,1 Jul 2023	,National annual projection[169]
 Macau (China)	,681	300,0.008%	,30 Sep 2023	,National quarterly estimate[170]
 Luxembourg	,660	809,0.008%,1 Jan 2023	,Official estimate[171]
 Montenegro	,616	695,0.008%,1 Jan 2023	,National annual estimate[172]
 Suriname	,616	500,0.008%,1 Jul 2021	,Official estimate[173]
[disputed  – discuss] Western Sahara	,587	259,0.007%,1 Jul 2023	,UN projection[3]
 Malta	,519	562,0.006%,21 Nov 2021	,2021 census result[175]
 Maldives	,515	132,0.006%,13 Sep 2022	,2022 census result[176]
 Cape Verde	,491	233,0.006%,16 Jun 2021	,2021 census result[177]
 Brunei	,445	400,0.006%,1 Jul 2022	,Official estimate[178]
 Belize	,441	471,0.005%,1 Jul 2022	,Official estimate[179]
 Bahamas	,397	360,0.005%,1 Jul 2022	,[180]
 Iceland	,396	960,0.005%,1 Oct 2023	,National quarterly estimate[181]
 Northern Cyprus	,382	836,0.005%,31 Dec 2020	,Official estimate[182]
 Transnistria	,360	938,0.004%,31 Dec 2022	,Official estimate[183]
 Vanuatu	,301	295,0.004%,1 Jul 2021	,National annual projection[184]
 French Polynesia (France)	,279	890,0.003%,1 Jul 2021	,National annual projection[184]
 New Caledonia (France)	,268	510,0.003%,1 Jan 2023	,National annual projection[185]
 Barbados	,267	800,0.003%,31 Dec 2022	,[186]
 Abkhazia	,244	236,0.003%,1 Jan 2022	,Official estimate[187]
 São Tomé and Príncipe	,214	610,0.003%,1 Jul 2021	,National annual projection[188]
 Samoa	,205	557,0.003%,6 Nov 2021	,Census 2021[189]
 Saint Lucia	,178	696,0.002%,1 Jul 2018	,Official estimate[190]
 Guam (US)	,153	836,0.002%,1 Apr 2020	,2020 census result[191]
 Curacao (Netherlands)	,148	925,0.002%,1 Jan 2023	,Official estimate[192]
 Kiribati	,120	740,0.001%,1 Jul 2021	,National annual projection[184]
 Grenada	,112	579,0.001%,1 Jul 2019	,Official estimate[193]
 Saint Vincent and the Grenadines	,110	872,0.001%,1 Jul 2022	,Official estimate[194]
 Aruba (Netherlands)	,106	739,0.001%,30 Sep 2022	,National quarterly estimate[195]
 Micronesia	,105	754,0.001%,1 Jul 2021	,National annual projection[184]
 Jersey (UK)	,103	267,0.001%,21 Mar 2021	,2021 census result[196]
 Antigua and Barbuda	,100	772,0.001%,1 Jan 2022	,National annual estimate[197]
 Seychelles	,100	447,0.001%,22 Apr 2022	,2022 Census[198]
 Tonga	,100	179,0.001%,1 Jan 2022	,National annual estimate[199]
 U.S. Virgin Islands (US)	,87	146,0.001%,1 Apr 2020	,2020 census result[200]
 Andorra	,85	101,0.001%,31 Dec 2023	,Official estimate[201]
 Isle of Man (UK)	,84	069,0.001%,30 May 2021	,2021 census result[202]
 Cayman Islands (UK)	,71	105,0.0009%,30 Sep 2020	,2021 Census[203]
 Dominica	,67	408,0.0008%,31 Dec 2017	,Official estimate[204]
 Guernsey (UK)	,64	091,0.0008%,31 Mar 2023	,National quarterly estimate[205]
 Bermuda (UK)	,64	055,0.0008%,1 Jul 2021	,National annual projection[206]
 Greenland (Denmark)	,56	865,0.0007%,1 Jul 2023	,National quarterly estimate[207]
 South Ossetia	,56	520,0.0007%,31 Dec 2021	,Official estimate[208]
 Faroe Islands (Denmark)	,54	547,0.0007%,1 Dec 2023	,Monthly national estimate[209]
 American Samoa (US)	,49	710,0.0006%,1 Apr 2020	,2020 census result[210]
 Northern Mariana Islands (US)	,47	329,0.0006%,1 Apr 2020	,2020 census result[211]
 Saint Kitts and Nevis	,47	195,0.0006%,15 May 2011	,2011 census result[212]
 Turks and Caicos Islands (UK)	,46	131,0.0006%,1 Jul 2021	,Official estimate[213]
 Sint Maarten (Netherlands)	,42	938,0.0005%,1 Jan 2023	,Official estimate[214]
 Marshall Islands	,42	418,0.0005%,30 Sep 2021	,2021 Census[215]
 Liechtenstein	,39	724,0.0005%,30 Jun 2023	,National estimate[216]
 Monaco	,39	050,0.0005%,31 Dec 2022	,Official estimate[217]
 Gibraltar (UK)	,34	003,0.0004%,1 Jul 2016	,Official figure[218]
 San Marino	,33	889,0.0004%,31 Oct 2023	,Monthly national estimate[219]
 Saint Martin (France)	,32	358,0.0004%,1 Jan 2020	,Official estimate[220]
 British Virgin Islands (UK)	,31	538,0.0004%,1 Jul 2023	,UN projection[3]
 Åland (Finland)	,30	547,0.0004%,31 Dec 2023	,Monthly national estimate[120]
 Palau	,16	733,0.0002%,1 Jul 2021	,2021 Census[221]
 Anguilla (UK)	,15	701,0.0002%,31 Dec 2021	,Official estimate[222]
 Cook Islands	,15	040,0.0002%,1 Jul 2021	,2021 Census[223]
 Nauru	,11	680,0.0001%,30 Oct 2021	,2021 Census[224]
 Wallis and Futuna (France)	,11	369,0.0001%,1 Jan 2021	,National annual projection[184]
 Tuvalu	,10	679,0.0001%,1 Jul 2021	,National annual projection[184]
 Saint Barthélemy (France)	,10	585,0.0001%,1 Jan 2020	,Official estimate[220]
 Saint Pierre and Miquelon (France)	,6	092,0%,1 Jan 2020	,Official estimate[220]
 Saint Helena	 Ascension and Tristan da Cunha (UK)	,5	651,0%,1 Jul 2021	,2021 Census[225][226][227]
 Montserrat (UK)	,4	433,0%,1 Jul 2022	,Official figure[228]
 Falkland Islands (UK)	,3	662,0%,10 Oct 2021	,2021 census result[229]
 Norfolk Island (Australia)	,2	188,0%,1 Jan 2021	,2021 Census[230]
 Christmas Island (Australia)	,1	692,0%,1 Jan 2021	,2021 Census [231]
 Niue	,1	689,0%,11 Nov 2022	,2022 Census [232]
 Tokelau (NZ)	,1	647,0%,1 Jan 2019	,2019 Census [233]
 Vatican City	,764,0%,26 Jun 2023	,Official figure[234]
 Cocos (Keeling) Islands (Australia)	,593,0%,30 Jun 2020	,2021 Census[235]
 Pitcairn Islands (UK)	,47,0%,1 Jul 2021	,Official estimate[236]